mid,netflix,amazon_prime,disney_plus,hulu,original_title,homepage,overview,popularity,production_countries,release_date,revenue,runtime,spoken_languages,vote_average,vote_count,genres_1,genres_2,genres_3,keywords_1,keywords_2,keywords_3
217,1,0,0,0,What Dreams May Come,,"Chris Neilson dies to find himself in a heaven more amazing than he could have ever dreamed of. There is one thing missing: his wife. After he dies, his wife, Annie killed herself and went to hell. Chris decides to risk eternity in hades for the small chance that he will be able to bring her back to heaven.",21.891078,New Zealand,1998-10-02,71485043,113.0,English,6.8,577,Drama,Fantasy,Romance,paradise,soul,underworld
218,1,0,0,0,Little Nicky,,"After the lord of darkness decides he will not cede his thrown to any of his three sons, the two most powerful of them escape to Earth to create a kingdom for themselves. This action closes the portal filtering sinful souls to Hell and causes Satan to wither away. He must send his most weak but beloved son, Little Nicky, to Earth to return his brothers to Hell.",18.335992,United States of America,2000-11-10,0,90.0,English,5.2,438,Comedy,Fantasy,Romance,father son relationship,brother sister relationship,mephisto
219,1,0,0,0,The Brothers Grimm,,"Folklore collectors and con artists, Jake and Will Grimm, travel from village to village pretending to protect townsfolk from enchanted creatures and performing exorcisms. However, they are put to the test  when they encounter a real magical curse in a haunted forest with real magical beings, requiring genuine courage.",40.138009,Czech Republic,2005-08-26,105316267,118.0,English,5.6,818,Adventure,Fantasy,Action,brother brother relationship,literature,aftercreditsstinger
220,1,0,0,0,Mars Attacks!,http://marsattacks.warnerbros.com/,"'We come in peace' is not what those green men from Mars mean when they invade our planet, armed with irresistible weapons and a cruel sense of humor.  This star studded cast must play victim to the alien’s fun and games in this comedy homage to science fiction films of the '50s and '60s.",44.090535,United States of America,1996-12-12,101371017,106.0,English,6.1,1509,Comedy,Fantasy,Science Fiction,saving the world,total destruction,white house
221,0,0,0,1,Surrogates,http://chooseyoursurrogate.com/,"Set in a futuristic world where humans live in isolation and interact through surrogate robots, a cop is forced to leave his home for the first time in years in order to investigate the murders of others' surrogates.",36.664991,United States of America,2009-09-24,122444772,89.0,English,5.9,1195,Action,Science Fiction,Thriller,clone,dystopia,
222,1,0,0,0,Battlefield Earth,,"In the year 3000, man is no match for the Psychlos, a greedy, manipulative race of aliens on a quest for ultimate profit. Led by the powerful Terl, the Psychlos are stripping Earth clean of its natural resources, using the broken remnants of humanity as slaves. What is left of the human race has descended into a near primitive state. After being captured, it is up to Tyler to save mankind.",7.89147,United States of America,2000-05-10,21400000,118.0,English,3.0,255,Action,Science Fiction,War,based on novel,post-apocalyptic,dystopia
223,0,0,0,1,Timeline,,A group of archaeological students become trapped in the past when they go there to retrieve their professor. The group must survive in 14th century France long enough to be rescued.,11.22268,United States of America,2003-11-26,19480739,116.0,English,5.4,318,Action,Adventure,Science Fiction,professor,time travel,quantum mechanics
224,0,0,1,0,The Lion King,http://movies.disney.com/the-lion-king,A young lion cub named Simba can't wait to be king. But his uncle craves the title for himself and will stop at nothing to get it.,90.457886,United States of America,1994-06-23,788241776,89.0,English,8.0,5376,Family,Animation,Drama,loss of parents,wild boar,uncle
225,1,0,0,0,Cloudy with a Chance of Meatballs 2,,"After the disastrous food storm in the first film, Flint and his friends are forced to leave the town. Flint accepts the invitation from his idol Chester V to join The Live Corp Company, which has been tasked to clean the island, and where the best inventors in the world create technologies for the betterment of mankind. When Flint discovers that his machine still operates and now creates mutant food beasts like living pickles, hungry tacodiles, shrimpanzees and apple pie-thons, he and his friends must return to save the world.",41.247402,United States of America,2013-09-26,248384621,95.0,English,6.4,915,Animation,Family,Comedy,inventor,food,scientist
226,0,0,0,1,Jack and Jill,http://www.jackandjill-movie.com/,"Jack Sadelstein, a successful advertising executive in Los Angeles with a beautiful wife and kids, dreads one event each year: the Thanksgiving visit of his twin sister Jill. Jill's neediness and passive-aggressiveness is maddening to Jack, turning his normally tranquil life upside down.",22.132418,United States of America,2011-11-11,149673788,91.0,English,4.1,604,Comedy,,,duringcreditsstinger,,
227,1,1,0,0,The Little Prince,http://www.thelittleprincemovie.com/,"Based on the best-seller book 'The Little Prince', the movie tells the story of a little girl that lives with resignation in a world where efficiency and work are the only dogmas. Everything will change when accidentally she discovers her neighbor that will tell her about the story of the Little Prince that he once met.",35.384423,France,2015-07-29,97571250,92.0,English,7.6,756,Adventure,Animation,Fantasy,philosophy,utopia,airplane
228,0,0,1,0,X-Men,,"Two mutants, Rogue and Wolverine, come to a private academy for their kind whose resident superhero team, the X-Men, must oppose a terrorist organization with similar powers.",4.66891,United States of America,2000-07-13,296339527,104.0,English,6.8,4097,Adventure,Action,Science Fiction,mutant,marvel comic,superhero
229,1,0,0,0,Wanted,http://www.wantedmovie.com/,"Doormat Wesley Gibson discovers that his recently murdered father – who Wesley never knew – belonged to a secret guild of assassins. After a leather-clad sexpot drafts Wesley into the society, he hones his innate killing skills and turns avenger.",73.82289,Germany,2008-06-19,258270008,110.0,English,6.4,2528,Action,Thriller,Crime,assassin,loss of father,secret society
230,0,0,1,0,Ice Age: The Meltdown,http://www.iceagemovies.com/films/ice-age-the-meltdown,"Diego, Manny and Sid return in this sequel to the hit animated movie Ice Age. This time around, the deep freeze is over, and the ice-covered earth is starting to melt, which will destroy the trio's cherished valley. The impending disaster prompts them to reunite and warn all the other beasts about the desperate situation.",85.115058,United States of America,2006-03-23,660940780,91.0,English,6.5,2951,Animation,Family,Comedy,mammoth,sloth,ice age
231,1,0,0,0,50 First Dates,,"Henry is a player skilled at seducing women. But when this veterinarian meets Lucy, a girl with a quirky problem when it comes to total recall, he realizes it's possible to fall in love all over again…and again, and again. That's because the delightful Lucy has no short-term memory, so Henry must woo her day after day until he finally sweeps her off her feet.",61.437586,United States of America,2004-02-13,196482882,99.0,English,6.6,2105,Comedy,Romance,,deja vu,amnesia,hawaii
232,1,0,0,0,Hairspray,http://www.hairspraymovie.com/,"Pleasantly plump teenager, Tracy Turnblad and her best friend, Penny Pingleton audition to be on The Corny Collins Show – and Tracy wins. But when scheming Amber Von Tussle and her mother plot to destroy Tracy, it turns to chaos.",31.160542,United Kingdom,2007-07-13,90450008,117.0,English,6.5,709,Family,Comedy,Music,races,dream,dance
233,0,1,0,1,Exorcist: The Beginning,,"Having lived through traumatizing events during WWII, Father Lankester Merrin takes a sabbatical from the Church to conduct archaeological excavations in British-administered East Africa. Merrin unearths an ancient Byzantine church believed have been built and then immediately buried to keep down evil from the crypt below. The natives are convinced that uncovering the church has unleashed a demon, and begin to violently clash with the British military troops. As the village rapidly disintegrates into chaos and war, Merrin must face-off with the demon which has taken possession of somebody close to him.",15.761384,United States of America,2004-08-20,78000586,114.0,English,4.7,183,Horror,Mystery,Thriller,secret,obsession,exorcism
234,0,0,1,0,Inspector Gadget,,"John Brown is a bumbling but well-intentioned security guard who is badly injured in an explosion planned by an evil mastermind. He is taken to a laboratory, where Brenda, a leading robotics surgeon, replaces his damaged limbs with state-of-the-art gadgets and tools. Named ""Inspector Gadget"" by the press, John -- along with his niece, Penny, and her trusty dog, Brain -- uses his new powers to discover who was behind the explosion.",17.561955,United States of America,1999-07-23,0,78.0,English,4.3,318,Action,Adventure,Comedy,gadget,,
235,1,0,0,1,Grown Ups,http://www.grownups-movie.com/,"After their high school basketball coach passes away, five good friends and former teammates reunite for a Fourth of July holiday weekend.",38.864027,United States of America,2010-06-24,271430189,102.0,English,6.0,1705,Comedy,,,overweight,swing,foot
236,1,0,0,0,Hotel for Dogs,,"Placed in a foster home that doesn't allow pets, 16-year-old Andi and her younger brother, Bruce, turn an abandoned hotel into a home for their dog. Soon other strays arrive, and the hotel becomes a haven for every orphaned canine in town. But the kids have to do some quick thinking to keep the cops off their tails.",13.25753,United States of America,2009-01-16,73034460,100.0,English,5.7,202,Comedy,Family,,adoption,puppy,pitbull
237,0,0,0,1,Shark Tale,,"Oscar is a small fish whose big aspirations often get him into trouble. Meanwhile, Lenny is a great white shark with a surprising secret that no sea creature would guess: He's a vegetarian. When a lie turns Oscar into an improbable hero and Lenny becomes an outcast, the two form an unlikely friendship.",47.094369,United States of America,2004-09-20,367275019,90.0,English,5.8,1557,Animation,Action,Comedy,fish,hero,mission of murder
238,1,0,0,1,Tears of the Sun,,"Navy SEAL Lieutenant A.K. Waters and his elite squadron of tactical specialists are forced to choose between their duty and their humanity, between following orders by ignoring the conflict that surrounds them, or finding the courage to follow their conscience and protect a group of innocent refugees. When the democratic government of Nigeria collapses and the country is taken over by a ruthless military dictator, Waters, a fiercely loyal and hardened veteran is dispatched on a routine mission to retrieve a Doctors Without Borders physician.",27.055085,United States of America,2003-03-07,85632458,121.0,English,6.4,573,Action,Drama,War,u.s. army,nigeria,president
239,1,1,0,0,Killers,http://killersfilm.com/,"When an elite assassin marries a beautiful computer whiz after a whirlwind romance, he gives up the gun and settles down with his new bride. That is, until he learns that someone from his past has put a contract out on his life.",23.004607,United States of America,2010-06-04,98159963,100.0,English,5.7,772,Action,Comedy,Thriller,assassin,,
240,1,0,0,0,Monster House,http://www.sonypictures.com/movies/monsterhouse/,"Monsters under the bed are scary enough, but what happens when an entire house is out to get you? Three teens aim to find out when they go up against a decrepit neighboring home and unlock its frightening secrets.",36.368839,United States of America,2006-07-21,140175006,91.0,English,6.3,874,Animation,Comedy,Family,monster,secret,toy
241,0,0,0,1,First Knight,,"The timeless tale of King Arthur and the legend of Camelot are retold in this passionate period drama. Arthur is reluctant to hand the crown to Lancelot, and Guinevere is torn between her loyalty to her husband and her growing love for his rival. But Lancelot must balance his loyalty to the throne with the rewards of true love.",19.143321,United States of America,1995-07-07,127600435,134.0,English,5.9,311,Action,Adventure,Drama,camelot,knight,king arthur
242,0,1,0,0,Hostage,,"When a mafia accountant is taken hostage on his beat, a police officer – wracked by guilt from a prior stint as a negotiator – must negotiate the standoff, even as his own family is held captive by the mob.",23.663713,Germany,2005-03-09,77944725,113.0,English,6.2,512,Mystery,Drama,Thriller,fbi,kidnapping,police operation
243,1,0,0,0,Soldier,http://www.wb-soldier.com/,"Sergeant Todd is a veteran soldier for an elite group of the armed forces. After being defeated by a new breed of genetically engineered soldiers, he is dumped on a waste planet and left for dead. He soon interacts with a group of crash survivors who lead out a peaceful existence. The peace is broken as the new soldiers land on the planet to eliminate the colony, which Sergeant Todd must defend.",11.873856,United States of America,1998-10-23,14567883,99.0,English,6.1,221,Action,War,Science Fiction,space marine,dystopia,alien planet
244,1,1,0,0,Carriers,,"Four friends fleeing a viral pandemic soon learn they are more dangerous than any virus.A deadly virus has spread across the globe. Contagion is everywhere, no one is safe and no one can be trusted. Four young attractive people race through the back roads of the American West to the pounding beat of a vacation soundtrack. Their aim is to retreat to secluded utopian beach in the Gulf of Mexico, where they could peacefully wait out the pandemic and survive the apocalyptic disease. Their plans take a grim turn when their car breaks down on an isolated road starting a chain of events that will seal the fate of each of them in an inexorable and horrifying voyage of hell through a western landscape populated by only the hideous dead or the twisted living.",12.708963,United States of America,2009-09-04,5802422,84.0,English,5.8,282,Action,Drama,Horror,beach,desperation,infection
245,0,1,0,1,Sucker Punch,http://suckerpunchmovie.warnerbros.com,"A young girl is institutionalized by her abusive stepfather. Retreating to an alternative reality as a coping strategy, she envisions a plan which will help her escape from the mental facility.",39.127082,United States of America,2011-03-24,89792502,110.0,English,5.9,1623,Action,Fantasy,Thriller,brothel,fantasy,asylum
246,1,0,0,0,Talladega Nights: The Ballad of Ricky Bobby,http://www.sonypictures.com/homevideo/talladeganights/,"Lifelong friends and national idols Ricky Bobby and Cal Naughton Jr. have earned their NASCAR stripes with their uncanny knack of finishing races in the first and second slots, respectively, and slinging catchphrases like ""Shake and bake!"" But when a rival French driver coasts onto the track to challenge their records, they'll have to floor it to retain their top-dog status.",12.599836,United States of America,2006-08-04,162966177,116.0,English,6.2,491,Comedy,,,north carolina,prayer,family dinner
247,0,0,0,1,The Village,,"When a willful young man tries to venture beyond his sequestered Pennsylvania hamlet, his actions set off a chain of chilling incidents that will alter the community forever.",27.491891,United States of America,2004-07-30,256697520,108.0,English,6.2,1071,Drama,Mystery,Thriller,secret,forest,rural setting
248,0,0,0,1,Signs,,A family living on a farm finds mysterious crop circles in their fields which suggests something more frightening to come.,28.848187,United States of America,2002-08-02,408247917,106.0,English,6.4,1599,Drama,Thriller,Science Fiction,symbolism,water,farm
249,0,0,0,1,Shrek 2,http://www.shrek2.com/,"Shrek, Fiona and Donkey set off to Far, Far Away to meet Fiona's mother and father. But not everyone is happy. Shrek and the King find it hard to get along, and there's tension in the marriage. The fairy godmother discovers that Shrek has married Fiona instead of her Son Prince Charming and sets about destroying their marriage.",47.320801,United States of America,2004-05-19,919838758,93.0,English,6.7,2988,Adventure,Animation,Comedy,prison,magic,liberation
250,0,0,1,0,Cars,http://disney.go.com/disneyvideos/animatedfilms/cars/,"Lightning McQueen, a hotshot rookie race car driven to succeed, discovers that life is about the journey, not the finish line, when he finds himself unexpectedly detoured in the sleepy Route 66 town of Radiator Springs. On route across the country to the big Piston Cup Championship in California to compete against two seasoned pros, McQueen gets to know the town's offbeat characters.",82.643036,United States of America,2006-06-08,461983149,117.0,English,6.6,3877,Animation,Adventure,Comedy,car race,car journey,village and town
251,1,0,0,0,Runaway Bride,,"Ike Graham, New York columnist, writes his text always at the last minute. This time, a drunken man in his favourite bar tells Ike about Maggie Carpenter, a woman who always flees from her grooms in the last possible moment. Ike, who does not have the best opinion about females anyway, writes an offensive column without researching the subject thoroughly.",20.230535,United States of America,1999-07-30,309457509,116.0,English,5.7,455,Comedy,Romance,,small town,self-discovery,just married
252,1,0,0,0,Inglourious Basterds,http://www.inglouriousbasterds-movie.com/,"In Nazi-occupied France during World War II, a group of Jewish-American soldiers known as ""The Basterds"" are chosen specifically to spread fear throughout the Third Reich by scalping and brutally killing Nazis. The Basterds, lead by Lt. Aldo Raine soon cross paths with a French-Jewish teenage girl who runs a movie theater in Paris which is targeted by the soldiers.",72.595961,Germany,2009-08-18,319131050,153.0,Deutsch,7.9,6430,Drama,Action,Thriller,paris,guerrilla,cinema
253,1,0,0,0,S.W.A.T.,http://www.sonypictures.com/homevideo/swat/,"Hondo Harrelson recruits Jim Street to join an elite unit of the Los Angeles Police Department. Together they seek out more members, including tough Deke Kay and single mom Chris Sanchez. The team's first big assignment is to escort crime boss Alex Montel to prison. It seems routine, but when Montel offers a huge reward to anyone who can break him free, criminals of various stripes step up for the prize.",34.052253,United States of America,2003-08-08,116643346,117.0,English,5.8,770,Action,Thriller,Crime,liberation,transport of prisoners,special unit
254,1,0,0,0,Lady in the Water,,"Apartment building superintendent Cleveland Heep rescues what he thinks is a young woman from the pool he maintains. When he discovers that she is actually a character from a bedtime story who is trying to make the journey back to her home, he works with his tenants to protect his new friend from the creatures that are determined to keep her in our world.",20.219385,United States of America,2006-07-21,42285169,110.0,English,5.3,409,Drama,Thriller,Fantasy,fortune teller,religion and supernatural,supernatural powers
255,0,0,0,1,We Were Soldiers,,The story of the first major battle of the American phase of the Vietnam War and the soldiers on both sides that fought it.,19.708731,Germany,2002-03-01,114660784,138.0,English,6.7,521,Action,History,War,vietnam veteran,missile,vietnam war
256,1,0,0,0,Olympus Has Fallen,,"When the White House (Secret Service Code: ""Olympus"") is captured by a terrorist mastermind and the President is kidnapped, disgraced former Presidential guard Mike Banning finds himself trapped within the building. As the national security team scrambles to respond, they are forced to rely on Banning's inside knowledge to help retake the White House, save the President and avert an even bigger disaster.",59.428223,United States of America,2013-03-20,161025640,120.0,English,6.2,2981,Action,Thriller,,white house,secret service,terrorist attack
257,0,0,0,1,Star Trek: Insurrection,,"When an alien race and factions within Starfleet attempt to take over a planet that has ""regenerative"" properties, it falls upon Captain Picard and the crew of the Enterprise to defend the planet's people as well as the very ideals upon which the Federation itself was founded.",19.711951,United States of America,1998-12-10,118000000,103.0,English,6.3,391,Science Fiction,Action,Adventure,space opera,retribution,spacecraft officer
258,1,0,0,0,Battle: Los Angeles,http://www.battlela.com,"The Earth is attacked by unknown forces. As people everywhere watch the world's great cities fall, Los Angeles becomes the last stand for mankind in a battle no one expected. It's up to a Marine staff sergeant and his new platoon to draw a line in the sand as they take on an enemy unlike any they've ever encountered before.",49.199234,United States of America,2011-03-08,202466756,116.0,English,5.5,1448,Action,Science Fiction,,saving the world,hero,marine corps
259,0,0,0,1,Big Fish,,"Throughout his life Edward Bloom has always been a man of big appetites, enormous passions and tall tales. In his later years, he remains a huge mystery to his son, William. Now, to get to know the real man, Will begins piecing together a true picture of his father from flashbacks of his amazing adventures.",46.199482,United States of America,2003-12-25,122919055,125.0,English,7.6,1994,Adventure,Fantasy,Drama,circus,father son relationship,witch
260,1,0,0,0,War Horse,http://www.warhorsemovie.com/,"Follows a young man named Albert and his horse, Joey, and how their bond is broken when Joey is sold to the cavalry and sent to the trenches of World War One. Despite being too young to enlist, Albert heads to France to save his friend.",29.505574,United States of America,2011-12-25,177584879,146.0,English,7.0,992,Drama,War,,world war i,horse,farm life
261,1,0,0,1,Stardust,http://www.stardustmovie.com,"In a countryside town bordering on a magical land, a young man makes a promise to his beloved that he'll retrieve a fallen star by venturing into the magical realm. His journey takes him into a world beyond his wildest dreams and reveals his true identity.",48.032734,Iceland,2007-08-09,135560026,127.0,English,7.1,1184,Adventure,Fantasy,Romance,witch,based on novel,new love
262,0,1,0,1,Bad Company,,"When a Harvard-educated CIA agent is killed during an operation, the secret agency recruits his twin brother.",14.086292,United States of America,2002-06-07,65977295,116.0,English,5.4,228,Action,Adventure,Comedy,ambush,cia,assassin
263,1,0,0,0,Doom,,"A team of space marines known as the Rapid Response Tactical Squad, led by Sarge, is sent to a science facility on Mars after somebody reports a security breach. There, they learn that the alert came after a test subject, a mass murderer purposefully injected with alien DNA, broke free and began killing people. Dr. Grimm, who is related to team member Reaper, informs them all that the chromosome can mutate humans into monsters -- and is highly infectious.",29.261348,Czech Republic,2005-10-20,55987321,105.0,日本語,5.0,609,Adventure,Action,Horror,teleportation,based on video game,severed ear
264,1,0,0,0,Underworld: Awakening,http://www.entertheunderworld.com/,"After being held in a coma-like state for fifteen years, vampire Selene learns that she has a fourteen-year-old vampire/Lycan hybrid daughter named Nissa, and when she finds her, they must stop BioCom from creating super Lycans that will kill them all.",58.401204,United States of America,2012-01-19,160112671,88.0,English,6.1,1862,Fantasy,Action,Horror,vampire,daughter,hybrid
265,1,0,0,0,Osmosis Jones,http://www.osmosisjones.com/,"A policeman white blood cell, with the help of a cold pill, must stop a deadly virus from destroying the human they live in, Frank.",10.54544,United States of America,2001-08-07,13596911,95.0,English,5.9,228,Adventure,Animation,Action,cold,flu,lethal virus
266,1,0,0,0,The Sum of All Fears,http://www.paramount.com/movies/sum-all-fears,"When the president of Russia suddenly dies, a man whose politics are virtually unknown succeeds him. The change in political leaders sparks paranoia among American CIA officials, so CIA director Bill Cabot recruits a young analyst to supply insight and advice on the situation. Then the unthinkable happens: a nuclear bomb explodes in a U.S. city, and America is quick to blame the Russians.",22.392544,United States of America,2002-05-31,193000000,124.0,العربية,5.9,437,Thriller,Action,Drama,cia,terrorist,atomic bomb
267,1,0,0,0,The Twilight Saga: Eclipse,http://eclipsethemovie.com,"Bella once again finds herself surrounded by danger as Seattle is ravaged by a string of mysterious killings and a malicious vampire continues her quest for revenge. In the midst of it all, she is forced to choose between her love for Edward and her friendship with Jacob, knowing that her decision has the potential to ignite the ageless struggle between vampire and werewolf. With her graduation quickly approaching, Bella is confronted with the most important decision of her life.",107.069763,United States of America,2010-06-23,698491347,124.0,English,5.8,2301,Adventure,Fantasy,Drama,vampire,graduation,bite
268,1,0,0,0,The Score,,An aging thief hopes to retire and live off his ill-gotten wealth when a young kid convinces him into doing one last heist.,22.572323,Germany,2001-07-13,71069884,124.0,English,6.7,423,Action,Crime,Thriller,quebec,jewel,scepter
269,1,0,0,0,Mystery Men,,"When Captain Amazing (Kinnear) is kidnapped by Casanova Frankenstein (Rush) a group of superheroes combine together to create a plan. But these aren't normal superheroes. Now, the group who include such heroes as Mr. Furious (Stiller), The Shoveller (Macy) and The Blue Raja (Azaria) must put all the powers together to save everyone they know and love.",12.948627,United States of America,1999-08-06,29762011,121.0,English,5.7,250,Adventure,Fantasy,Action,bowling,hostage,sphinx
270,0,0,1,0,The Finest Hours,https://www.facebook.com/thefinesthoursmovie,The Coast Guard makes a daring rescue attempt off the coast of Cape Cod after a pair of oil tankers are destroyed during a blizzard in 1952.,28.223664,United States of America,2016-01-25,52099090,114.0,English,6.3,588,Action,Drama,History,coast guard,based on true story,survival
271,1,0,0,0,Dinner for Schmucks,http://www.dinnerforschmucks.com/,"Rising executive Tim Wagner works for a boss who hosts a monthly dinner in which the guest who brings the biggest buffoon gets a career-boost. Tim plans on not attending until he meets Barry, a man who builds dioramas using stuffed mice. Barry's blundering but good intentions send Tim's life into a downward spiral, threatening a major business deal and possibly scuttling Tim's engagement to his fiancee.",11.023691,United States of America,2010-07-30,86387857,114.0,English,5.5,531,Comedy,,,mouse,idiot,mind control
272,0,0,0,1,Dreamcatcher,http://dreamcatchermovie.warnerbros.com/,"Four boyhood pals perform a heroic act and are changed by the powers they gain in return. Years later, on a hunting trip in the Maine woods, they're overtaken by a vicious blizzard that harbors an ominous presence. Challenged to stop an alien force, the friends must first prevent the slaughter of innocent civilians by a military vigilante ... and then overcome a threat to the bond that unites the four of them.",26.792794,United States of America,2003-03-21,75715436,136.0,English,5.3,567,Drama,Horror,Science Fiction,religion and supernatural,,
273,1,0,0,0,Lincoln,,"A revealing drama that focuses on the 16th President's tumultuous final months in office. In a nation divided by war and the strong winds of change, Lincoln pursues a course of action designed to end the war, unite the country and abolish slavery. With the moral courage and fierce determination to succeed, his choices during this critical moment will change the fate of generations to come.",36.307296,India,2012-11-09,275293450,149.0,English,6.7,1429,History,Drama,,usa president,speech,battlefield
274,1,0,0,0,The Matrix,http://www.warnerbros.com/matrix,"Set in the 22nd century, The Matrix tells the story of a computer hacker who joins a group of underground insurgents fighting the vast and powerful computers who now rule the earth.",104.309993,Australia,1999-03-30,463517383,136.0,English,7.9,8907,Action,Science Fiction,,saving the world,artificial intelligence,man vs machine
275,0,1,0,0,Apollo 13,,"The true story of technical troubles that scuttle the Apollo 13 lunar mission in 1971, risking the lives of astronaut Jim Lovell and his crew, with the failed journey turning into a thrilling saga of heroism. Drifting more than 200,000 miles from Earth, the astronauts work furiously with the ground crew to avert tragedy.",68.140214,United States of America,1995-06-30,355237933,140.0,English,7.3,1599,Drama,,,moon,florida,nasa
276,0,0,1,0,The Santa Clause 2,,"Better watch out! The big guy in red is coming to town once again. This time, Scott Calvin -- also known as Santa Claus -- finds out there's an obscure clause in his contract requiring him to take on a wife. He has to leave the North Pole to fulfill his obligations, or else he'll be forced to give up his Yuletide gig.",14.646884,United States of America,2002-10-31,172855065,104.0,English,5.5,297,Fantasy,Comedy,Family,holiday,christmas party,home
277,1,1,0,0,Les Misérables,http://www.lesmiserablesfilm.com,"An adaptation of the successful stage musical based on Victor Hugo's classic novel set in 19th-century France, in which a paroled prisoner named Jean Valjean seeks redemption.",48.356214,United Kingdom,2012-12-18,441809770,157.0,English,7.1,1884,Drama,Music,Romance,france,robbery,brothel
278,1,0,0,0,Step Brothers,,"Brennan Huff and Dale Doback might be grown men. But that doesn't stop them from living at home and turning into jealous, competitive stepbrothers when their single parents marry. Brennan's constant competition with Dale strains his mom's marriage to Dale's dad, leaving everyone to wonder whether they'll ever see eye to eye.",22.977983,United States of America,2008-07-25,128107642,98.0,English,6.5,1062,Comedy,,,becoming an adult,autonomy,childhood trauma
279,1,0,0,1,The Mask of Zorro,,"It has been twenty years since Don Diego de la Vega fought Spanish oppression in Alta California as the legendary romantic hero, Zorro. Having escaped from prison he transforms troubled bandit Alejandro into his successor, in order to foil the plans of the tyrannical Don Rafael Montero who robbed him of his freedom, his wife and his precious daughter.",31.086791,United States of America,1998-07-16,250288523,136.0,English,6.3,1183,Action,Adventure,,california,spy,hero
280,1,0,0,0,Due Date,http://duedatemovie.warnerbros.com/,"Peter Highman must scramble across the US in five days to be present for the birth of his first child. He gets off to a bad start when his wallet and luggage are stolen, and put on the 'no-fly' list. Peter embarks on a terrifying journey when he accepts a ride from an actor.",43.865294,United States of America,2010-11-04,211780824,95.0,English,6.2,1685,Comedy,Drama,,highway,slacker,hitchhiker
281,1,0,0,0,Unbroken,http://www.unbrokenfilm.com/,"A chronicle of the life of Louis Zamperini, an Olympic runner who was taken prisoner by Japanese forces during World War II.",43.055253,United States of America,2014-12-25,163442937,137.0,Italiano,7.3,1400,Drama,War,,world war ii,prisoners of war,biography
282,1,0,0,0,Space Cowboys,http://movies.warnerbros.com/spacecowboys/index.html,"Frank Corvin, ‘Hawk’ Hawkins, Jerry O'Neill and ‘Tank’ Sullivan were hotdog members of Project Daedalus, the Air Force's test program for space travel, but their hopes were dashed in 1958 with the formation of NASA and the use of trained chimps. They blackmail their way into orbit when Russia's mysterious ‘Ikon’ communications satellite's orbit begins to degrade and threatens to crash to Earth.",15.772081,United States of America,2000-07-31,128884132,130.0,English,6.3,403,Action,Adventure,Thriller,nasa,space travel,astronaut
283,1,0,0,0,Cliffhanger,,"A year after losing his friend in a tragic 4,000-foot fall, former ranger Gabe Walker and his partner, Hal, are called to return to the same peak to rescue a group of stranded climbers, only to learn the climbers are actually thieving hijackers who are looking for boxes full of money.",26.19909,France,1993-05-28,255000211,112.0,English,6.1,588,Action,Adventure,Thriller,rocky mountains,airplane,hijacking
284,0,0,0,1,The Kid,http://movies.disney.com/the-kid,"Powerful businessman Russ Duritz is self-absorbed and immersed in his work. But by the magic of the moon, he meets Rusty, a chubby, charming 8-year-old version of himself who can't believe he could turn out so badly -- with no life and no dog. With Rusty's help, Russ is able to reconcile the person he used to dream of being with the man he's actually become.",18.281798,United States of America,2000-07-07,69700000,104.0,English,6.0,238,Fantasy,Comedy,Family,age difference,midlife crisis,suppressed past
285,1,1,0,0,World Trade Center,,"On September, 11th 2001, after the terrorist attack to the World Trade Center, the building collapses over the rescue team from the Port Authority Police Department. Will Jimeno and his sergeant John McLoughlin are found alive trapped under the wreckage while the rescue teams fight to save them.",24.697533,United States of America,2006-08-09,162945894,128.0,English,5.9,447,Drama,History,Thriller,terror,runaway,alarm clock
286,1,0,0,1,Mona Lisa Smile,,"The story of Katherine Ann Watson, a feminist teacher who studied at UCLA graduate school and in 1953 left her boyfriend behind in Los Angeles, California to teach at Wellesley College, a conservative women's private liberal arts college in Massachusetts, United States.",19.718544,United States of America,2003-12-19,0,117.0,English,6.5,393,Drama,Romance,,faculty,art history,rowing
287,0,0,0,1,The Dictator,http://www.dictatorthemovie.com/,The heroic story of a dictator who risks his life to ensure that democracy would never come to the country he so lovingly oppressed.,31.349143,United States of America,2012-05-15,179379533,83.0,English,5.9,1743,Comedy,,,kurdish,,
288,0,0,1,0,Annie,,"Ever since her parents left her as a baby, little Annie has led a hard-knock life with her calculating foster mother, Miss Hannigan. However, all that changes when hard-nosed billionaire and mayoral candidate Will Stacks takes her in on the recommendation of his advisers. Stacks believes that he's Annie's guardian angel, but the plucky youngster's confidence and sunny outlook may mean that Annie will save Will instead.",33.439187,United States of America,2014-12-19,133821816,119.0,English,6.0,466,Comedy,Drama,Family,musical,orphan,foster child
289,0,0,0,1,Blade: Trinity,http://www.warnerbros.com/blade-trinity,"For years, Blade has fought against the vampires in the cover of the night. But now, after falling into the crosshairs of the FBI, he is forced out into the daylight, where he is driven to join forces with a clan of human vampire hunters he never knew existed - The Nightstalkers. Together with Abigail and Hannibal, two deftly trained Nightstalkers, Blade follows a trail of blood to the ancient creature that is also hunting him, the original vampire, Dracula.",49.660055,United States of America,2004-12-08,128905366,123.0,Esperanto,5.7,1252,Science Fiction,Action,Horror,fbi,dracula,fistfight
