,mid,original_title,homepage,overview,popularity,production_countries,release_date,revenue,runtime,spoken_languages,vote_average,vote_count,genres_1,genres_2,genres_3,keywords_1,keywords_2,keywords_3
486,486,Hackers,,"Along with his new friends, a teenager who was arrested by the US Secret Service and banned from using a computer for writing a computer virus discovers a plot by a nefarious hacker, but they must use their computer skills to find the evidence while being pursued by the Secret Service and the evil computer genius behind the virus.",17.842246,United States of America,1995-09-14,7563728,107.0,English,6.2,398,Action,Crime,Thriller,female nudity,hacker,nudity
496,496,The Hurricane,,"The story of Rubin ""Hurricane"" Carter, a boxer wrongly imprisoned for murder, and the people who aided in his fight to prove his innocence.",20.825781,United States of America,1999-09-17,73956241,146.0,English,7.2,396,Drama,,,prison,boxer,boxing match
497,497,Heartbreakers,,"Max and Page are a brilliant mother/daughter con team who have their grift down to a fine science. Max targets wealthy, willing men and marries them. Page then seduces them, and Max catches her husband in the act. Then it's off to palimony city and the next easy mark.",13.932203,United States of America,2001-03-23,0,123.0,English,5.7,254,Crime,Comedy,Romance,cons and scams,,
505,505,Twilight,http://www.twilightthemovie.com,"When Bella Swan moves to a small town in the Pacific Northwest to live with her father, she starts school and meets the reclusive Edward Cullen, a mysterious classmate who reveals himself to be a 108-year-old vampire. Despite Edward's repeated cautions, Bella can't help but fall in love with him, a fatal move that endangers her own life when a coven of bloodsuckers try to challenge the Cullen clan.",127.084938,United States of America,2008-11-20,392616625,122.0,English,5.8,3561,Adventure,Fantasy,Drama,soulmates,vampire,forbidden love
511,511,True Grit,http://www.truegritmovie.com/,"Following the murder of her father by hired hand Tom Chaney, 14-year-old farm girl Mattie Ross sets out to capture the killer. To aid her, she hires the toughest U.S. Marshal she can find, a man with ""true grit,"" Reuben J. ""Rooster"" Cogburn. Mattie insists on accompanying Cogburn, whose drinking, sloth, and generally reprobate character do not augment her faith in him. Against his wishes, she joins him in his trek into the Indian Nations in search of Chaney. They are joined by Texas Ranger LaBoeuf, who wants Chaney for his own purposes. The unlikely trio find danger and adventure on the journey, and each has his or her ""grit"" tested.",49.292384,United States of America,2010-12-22,252276927,110.0,English,7.2,1668,Drama,Adventure,Western,loss of father,father murder,texas ranger
513,513,21,http://www.sonypictures.com/movies/21/,"Ben Campbell is a young, highly intelligent, student at M.I.T. in Boston who strives to succeed. Wanting a scholarship to transfer to Harvard School of Medicine with the desire to become a doctor, Ben learns that he cannot afford the $300,000 for the four to five years of schooling as he comes from a poor, working-class background. But one evening, Ben is introduced by his unorthodox math professor Micky Rosa into a small but secretive club of five. Students Jill, Choi, Kianna, and Fisher, who are being trained by Professor Rosa of the skill of card counting at blackjack.",45.149948,United States of America,2008-03-27,69823199,123.0,English,6.5,1375,Drama,Crime,,gambling,card game,professor
522,522,Max Payne,http://www.maxpaynethemovie.com,"Coming together to solve a series of murders in New York City are a DEA agent whose family was slain as part of a conspiracy and an assassin out to avenge her sister's death. The duo will be hunted by the police, the mob, and a ruthless corporation.",25.903237,United States of America,2008-10-15,85416905,100.0,English,5.2,613,Action,,,assassin,based on video game,aftercreditsstinger
524,524,Closer,,"A witty, romantic, and very dangerous love story about chance meetings, instant attractions, and casual betrayals. Two couples disintegrate when they begin destructive adulterous affairs with each other.",22.636908,United States of America,2004-12-01,115505027,104.0,English,6.7,811,Drama,Romance,,father son relationship,love at first sight,photographer
526,526,Heist,,"A father is without the means to pay for his daughter's medical treatment. As a last resort, he partners with a greedy co-worker to rob a casino. When things go awry they're forced to hijack a city bus.",15.079993,United States of America,2015-11-13,4100000,93.0,English,5.6,318,Crime,Action,Thriller,casino,robbery,bus hijacking
531,531,Knock Off,,"Marcus Ray (Jean-Claude Van Damme), a sales representative for ""V SIX"" jeans, and his partner, Tommy Hendricks (Rob Schneider), are about to be busted for selling ""knock off"" jeans. Their American contact, Karan Leigh, who by the way is not only their employer but a CIA agent sent to find the mole in their operation, is threatening them with a jail term if they do not prove their innocence.",2.706207,Aruba,1998-09-04,0,91.0,English,4.7,64,Action,Adventure,Thriller,parking garage,freighter,fundraiser
534,534,A Good Year,,"Failed London banker Max Skinner inherits his uncle's vineyard in Provence, where he spent many childhood holidays. Upon his arrival, he meets a woman from California who tells Max she is his long-lost cousin and that the property is hers.",16.782471,United States of America,2006-09-09,42064105,118.0,English,6.5,357,Comedy,Drama,Romance,provence,wine cellar,vineyard
535,535,Stolen,,"A former thief frantically searches for his missing daughter, who has been kidnapped and locked in the trunk of a taxi.",16.830184,United States of America,2012-05-17,2106557,96.0,svenska,5.1,344,Action,Crime,Drama,taxi driver,thief,fbi agent
543,543,Nacho Libre,http://www.nacholibre.com/,"Nacho Libre is loosely based on the story of Fray Tormenta (""Friar Storm""), aka Rev. Sergio Gutierrez Benitez, a real-life Mexican Catholic priest who had a 23-year career as a masked luchador. He competed in order to support the orphanage he directed. The producers are Jack Black, David Klawans, Julia Pistor, and Mike White.",14.642055,United States of America,2006-06-16,80197993,92.0,Español,5.6,359,Comedy,Family,,nun,sport,orphanage
545,545,"Big Mommas: Like Father, Like Son",http://www.bigmommaslikefatherlikeson.com/,"FBI agent Malcolm Turner and his 17-year-old son, Trent, go undercover at an all-girls performing arts school after Trent witnesses a murder. Posing as Big Momma and Charmaine, they must find the murderer before he finds them.",15.901137,United States of America,2011-02-16,83615414,107.0,English,5.3,313,Crime,Comedy,Action,undercover,fbi,sequel
549,549,Arachnophobia,,"A large spider from the jungles of South America is accidentally transported in a crate with a dead body to America where it mates with a local spider. Soon after, the residents of a small California town disappear as the result of spider bites from the deadly spider offspring. It's up to a couple of doctors with the help of an insect exterminator to annihilate these eight legged freaks.",15.895661,United States of America,1990-08-09,53208180,103.0,English,6.2,433,Comedy,Horror,,small town,outbreak,exterminator
550,550,Get Shorty,,"Chili Palmer is a Miami mobster who gets sent by his boss, the psychopathic ""Bones"" Barboni, to collect a bad debt from Harry Zimm, a Hollywood producer who specializes in cheesy horror films. When Chili meets Harry's leading lady, the romantic sparks fly. After pitching his own life story as a movie idea, Chili learns that being a mobster and being a Hollywood producer really aren't all that different.",15.585138,United States of America,1995-10-20,115101622,105.0,English,6.4,302,Comedy,Thriller,Crime,gambling,miami,based on novel
563,563,Bride Wars,http://www.bridewars.com,Two best friends become rivals when their respective weddings are accidentally booked for the same day.,33.385429,United States of America,2009-01-09,114663461,89.0,English,5.9,856,Comedy,,,bride,friendship,engagement
568,568,Atonement,,"As a 13-year-old, fledgling writer Briony Tallis irrevocably changes the course of several lives when she accuses her older sister's lover of a crime he did not commit.",33.369305,United Kingdom,2007-08-29,129266061,123.0,English,7.4,1049,Drama,Romance,,based on novel,sister sister relationship,flirt
570,570,The Three Stooges,http://www.threestooges.com/movie/index.htm,"While trying to save their childhood orphanage, Moe, Larry and Curly inadvertently stumble into a murder plot and wind up starring in a reality TV show.",14.585968,United States of America,2012-04-13,54819301,92.0,English,4.9,140,Comedy,,,duringcreditsstinger,,
574,574,Meet the Spartans,http://www.meetthespartans.com/,"From the creators of Scary Movie and Date Movie comes this tongue-in-cheek parody of the sword-and-sandal epics, dubbed Meet the Spartans. The 20th Century Fox production was written and directed by the filmmaking team of Jason Friedberg and Aaron Seltzer. Sure, Leonidas may have nothing more than a cape and some leather underwear to protect him from the razor-sharp swords of his Persian enemies,",10.608998,United States of America,2008-01-24,84646831,84.0,English,3.7,359,Comedy,,,fight,queen,penguin
581,581,Bulworth,,A suicidally disillusioned liberal politician puts a contract out on himself and takes the opportunity to be bluntly honest with his voters by affecting the rhythms and speech of hip-hop music and culture.,4.52363,United States of America,1998-05-15,29202884,108.0,English,6.3,66,Comedy,Drama,,mission of murder,politics,election campaign
585,585,Love & Other Drugs,http://www.loveandotherdrugsthemovie.com/,"Maggie, an alluring free spirit who won't let anyone - or anything - tie her down. But she meets her match in Jamie, whose relentless and nearly infallible charm serve him well with the ladies and in the cutthroat world of pharmaceutical sales. Maggie and Jamie's evolving relationship takes them both by surprise, as they find themselves under the influence of the ultimate drug: love.",20.236951,United States of America,2010-11-22,102820008,112.0,English,6.6,1233,Drama,Comedy,Romance,male nudity,female nudity,letter
587,587,In Dreams,,"Claire Cooper dreams strange things from time to time. One night, she dreams about a little girl being taken away by a stranger...",3.226243,United States of America,1999-01-15,0,100.0,English,5.4,44,Drama,Thriller,,based on novel,suicide attempt,dream
593,593,The Boss,http://www.thebossfilm.com/,"A titan of industry is sent to prison after she's caught for insider trading. When she emerges ready to rebrand herself as America's latest sweetheart, not everyone she screwed over is so quick to forgive and forget.",20.55509,United States of America,2016-04-07,78636257,91.0,English,5.5,431,Comedy,,,business woman,ex-con,duringcreditsstinger
598,598,Die Hard,,"NYPD cop, John McClane's plan to reconcile with his estranged wife is thrown for a serious loop when minutes after he arrives at her office, the entire building is overtaken by a group of terrorists. With little help from the LAPD, wisecracking McClane sets out to single-handedly rescue the hostages and bring the bad guys down.",66.169628,United States of America,1988-07-15,140767956,131.0,English,7.5,3948,Action,Thriller,,helicopter,journalist,based on novel
613,613,Anonymous,http://www.anonymous-movie.com/,"Set against the backdrop of the succession of Queen Elizabeth I, and the Essex Rebellion against her, the story advances the theory that it was in fact Edward De Vere, Earl of Oxford who penned Shakespeare's plays.",16.698316,United Kingdom,2011-10-21,15395087,130.0,English,6.3,288,Drama,History,Thriller,shakespeare,anonymity,poet
617,617,Flawless,,An ultraconservative police officer suffers a debilitating stroke and is assigned to a rehabilitative program that includes singing lessons - with the drag queen next door.,5.271559,United States of America,1999-11-26,4488529,112.0,English,5.9,56,Comedy,Drama,,independent film,,
618,618,The Statement,,"The film is set in France in the 1990s, the French were defeated by the Germans early in World War II, an armistice was signed in 1940 which effectively split France into a German occupied part in the North and a semi-independent part in the south which became known as Vichy France. In reality the Vichy government was a puppet regime controlled by the Germans. Part of the agreement was that the Vichy Government would assist with the 'cleansing' of Jews from France. The Vichy government formed a police force called the Milice, who worked with the Germans...",2.653988,France,2003-12-12,0,120.0,Français,5.9,23,Drama,Thriller,,,,
627,627,Brothers,,"When his helicopter goes down during his fourth tour of duty in Afghanistan, Marine Sam Cahill is presumed dead. Back home, brother Tommy  steps in to look over Sam’s wife, Grace, and two children. Sam’s surprise homecoming triggers domestic mayhem.",22.07638,United States of America,2009-01-27,43318349,104.0,English,6.8,633,Drama,Thriller,War,brother brother relationship,brother-in-law,loss of husband
632,632,Taken,,"While vacationing with a friend in Paris, an American girl is kidnapped by a gang of human traffickers intent on selling her into forced prostitution. Working against the clock, her ex-spy father must pull out all the stops to save her. But with his best years possibly behind him, the job may be more than he can handle.",80.879032,France,2008-02-18,226830568,93.0,English,7.2,4369,Action,Thriller,,paris,kidnapping,human trafficking
640,640,The Omen,,"Immediately after their miscarriage, the US diplomat Robert Thorn adopts the newborn Damien without the knowledge of his wife. Yet what he doesn’t know is that their new son is the son of the devil. A classic horror film with Gregory Peck from 1976.",25.939385,United Kingdom,1976-06-06,60922980,111.0,English,7.2,476,Horror,Thriller,,monk,prophecy,ambassador
642,642,Hide and Seek,,"David Callaway tries to piece together his life in the wake of his wife's suicide and has been left to raise his nine-year-old daughter, Emily on his own. David is at first amused to discover that Emily has created an imaginary friend named 'Charlie', but it isn't long before 'Charlie' develops a sinister and violent side, and as David struggles with his daughter's growing emotional problems, he comes to the frightening realisation that 'Charlie' isn't just a figment of Emily's imagination.",18.228538,United States of America,2005-01-27,122644820,101.0,English,6.1,440,Horror,Mystery,Thriller,house,imaginary friend,suspense
647,647,Rugrats Go Wild,,"Rugrats Go Wild is a 2003 crossover animated film, with two animated Nickelodeon television series Rugrats and The Wild Thornberrys.The film was produced by Klasky Csupo and released in theaters on June 13, 2003 by Paramount Pictures and Nickelodeon Movies. It also makes this the Rugrats series finale, after the show ceased production. As there are currently no further Rugrats movies in production, Rugrats Go Wild stands as the final Rugrats film. It is the only Nickelodeon film to be a crossover. Although it is a crossover film, it is primarily a Rugrats movie as the main plot focuses on the those characters.The Rugrats family vacation takes an exotic detour when their boat capsizes and they become shipwrecked on a deserted tropical island. With the jungle as their new backyard, the babies reace wildly from one dangerous adventure to the next…soon to discover that someone else is on the island. It's The Wild Thornberrys...on an island adventure of their own!",8.255708,United States of America,2003-06-13,0,84.0,English,5.6,61,Animation,Family,,kids and family,,
651,651,The Sitter,,"Noah, is not your typical entertain-the-kids-no-matter-how-boring-it-is kind of sitter. He's reluctant to take a sitting gig; he'd rather, well, be doing anything else, especially if it involves slacking. When Noah is watching the neighbor's kid he gets a booty call from his girlfriend in the city. To hook up with her, Noah takes to the streets, but his urban adventure spins out of control as he finds himself on the run from a maniacal drug lord.",19.428994,United States of America,2011-12-09,34942188,81.0,English,5.4,325,Comedy,,,babysitter,duringcreditsstinger,
654,654,The Gambler,http://www.thegamblermovie.com/,"Literature professor Jim Bennett leads a secret life as a high-stakes gambler. Always a risk-taker, Bennett bets it all when he borrows from a gangster and offers his own life as collateral. Staying one step ahead, he pits his creditor against the operator of an illicit gambling ring while garnering the attention of Frank, a paternalistic loan shark. As his relationship with a student deepens, Bennett must risk everything for a second chance.",22.622453,United States of America,2014-12-25,39171130,111.0,English,5.7,543,Thriller,Crime,Drama,gambling,gun,professor
664,664,The Box,http://thebox-movie.warnerbros.com/,"Norma and Arthur Lewis, a suburban couple with a young child, receive a simple wooden box as a gift, which bears fatal and irrevocable consequences. A mysterious stranger delivers the message that the box promises to bestow upon its owner $1 million with the press of a button. However pressing this button will simultaneously cause the death of another human being somewhere in the world; someone they don't know. With just 24 hours to have the box in their possession, Norma and Arthur find themselves in the cross-hairs of a startling moral dilemma and must face the true nature of their humanity.",21.606001,United States of America,2009-09-17,33333531,115.0,English,5.4,597,Thriller,Science Fiction,,experiment,homicide,key
665,665,The Ruins,,"A group of friends whose leisurely Mexican holiday takes a turn for the worse when they, along with a fellow tourist embark on a remote archaeological dig in the jungle, where something evil lives among the ruins",13.715715,United States of America,2008-04-02,0,91.0,English,5.6,265,Drama,Horror,,maya civilization,carnivorous plant,cancún
668,668,Legend,https://www.uphe.com/movies/legend-2015,"Suave, charming and volatile, Reggie Kray and his unstable twin brother Ronnie start to leave their mark on the London underworld in the 1960s. Using violence to get what they want, the siblings orchestrate robberies and murders while running nightclubs and protection rackets. With police Detective Leonard ""Nipper"" Read hot on their heels, the brothers continue their rapid rise to power and achieve tabloid notoriety.",32.854557,United Kingdom,2015-09-09,42972994,131.0,English,6.7,973,Crime,Thriller,,biography,based on true story,gangster
669,669,Hot Rod,,"For Rod Kimball, performing stunts is a way of life, even though he is rather accident-prone. Poor Rod cannot even get any respect from his stepfather, Frank, who beats him up in weekly sparring matches. When Frank falls ill, Rod devises his most outrageous stunt yet to raise money for Frank's operation -- and then Rod will kick Frank's butt.",6.309587,United States of America,2007-08-03,14334401,88.0,English,6.3,313,Action,Comedy,,stuntman,step father,swimming pool
671,671,Angela's Ashes,,"Based on the best selling autobiography by Irish expat Frank McCourt, Angela's Ashes follows the experiences of young Frankie and his family as they try against all odds to escape the poverty endemic in the slums of pre-war Limerick. The film opens with the family in Brooklyn, but following the death of one of Frankie's siblings, they return home, only to find the situation there even worse. Prejudice against Frankie's Northern Irish father makes his search for employment in the Republic difficult despite his having fought for the IRA, and when he does find money, he spends the money on drink.",4.88794,Ireland,1999-12-25,13,145.0,English,7.0,59,Drama,,,emigration,irish-american,hunger
679,679,I Still Know What You Did Last Summer,,"Unfinished business with coed Julie James brings the murderer to the Bahamas to terrorize her and her friends, Karla, Tyrell and Will, during a vacation. Can Ray Bronson who survived a bloody attack alongside Julie two summers ago, get to the island in time to save everyone?",20.793026,United States of America,1998-11-13,40002112,100.0,English,5.1,374,Horror,Mystery,Thriller,competition,island,radio
684,684,Faster,http://www.fasterthemovie.com/,"Driver (Dwayne Johnson) has spent the last 10 years in prison planning revenge for the murder of his brother. Now that Driver is free to carry out his deadly plan only two men stand in his way- Billy Bob Thornton plays a veteran cop and Oliver Jackson-Cohen, a crazy hitman. With those two close on his trail, Driver races to carry out his mission as the mystery surrounding his brothers murder deepens.",26.324874,United States of America,2010-11-23,23081726,98.0,English,6.1,568,Crime,Drama,Action,,,
687,687,Bad Boys,,"Marcus Burnett is a hen-pecked family man. Mike Lowry is a foot-loose and fancy free ladies' man. Both are Miami policemen, and both have 72 hours to reclaim a consignment of drugs stolen from under their station's nose. To complicate matters, in order to get the assistance of the sole witness to a murder, they have to pretend to be each other.",33.872182,United States of America,1995-04-07,141407024,118.0,English,6.5,1699,Action,Comedy,Crime,miami,detective,handcuffs
690,690,The Adventurer: The Curse of the Midas Box,,"17-year-old Mariah Mundi's life is turned upside down when his parents vanish and his younger brother is kidnapped. Following a trail of clues to the darkly majestic Prince Regent Hotel, Mariah discovers a hidden realm of child-stealing monsters, deadly secrets and a long-lost artifact that grants limitless wealth – but also devastating supernatural power. With the fate of his world, and his family at stake, Mariah will risk everything to unravel the Curse of the Midas Box.",8.842722,Belgium,2013-12-05,6399,99.0,English,5.1,73,Fantasy,Adventure,Family,london england,based on novel,key
691,691,The Crew,,Four retired mobsters plan one last crime to save their retirement home.,2.634119,United States of America,2000-08-21,0,88.0,English,6.4,11,Action,Comedy,,,,
702,702,Underworld,http://www.sonypictures.com/movies/underworld/site/main.html,"Vampires and werewolves have waged a nocturnal war against each other for centuries. But all bets are off when a female vampire warrior named Selene, who's famous for her strength and werewolf-hunting prowess, becomes smitten with a peace-loving male werewolf, Michael, who wants to end the war.",81.829237,Germany,2003-09-19,95708457,121.0,English,6.6,2512,Fantasy,Action,Thriller,budapest,subway,love of one's life
705,705,The Glass House,,"After the parents of Ruby and her younger brother, Rhett, are killed in a car crash, their parents' best friends, Erin and Terry Glass, become their guardians. The children hear promises of a world of opulence and California fun -- all they have to do is move into the Glasses' gated house. Before very long, though, Ruby suspects that Erin and Terry may not be the ideal guardians they seemed to be.",9.448517,United States of America,2001-09-14,23619609,106.0,Español,5.4,201,Drama,Thriller,,california,brother sister relationship,loss of parents
709,709,Megiddo: The Omega Code 2,,Stone (the Antichrist) becomes President of the European Union and uses his seat of power to dissolve the United Nations and create a one world government called the World Union.,0.809588,United States of America,2001-09-07,0,104.0,English,3.6,8,Action,Science Fiction,Thriller,dystopia,,
710,710,The Transporter Refueled,http://www.thetransporterrefueled.com/,"The fast-paced action movie is again set in the criminal underworld in France, where Frank Martin is known as The Transporter, because he is the best driver and mercenary money can buy. In this installment, he meets Anna and they attempt to take down a group of ruthless Russian human traffickers who also have kidnapped Frank’s father.",25.002715,Belgium,2015-09-03,72629670,96.0,English,5.2,559,Thriller,Action,Crime,transporter,sequel,suspense
711,711,Mad Money,,Three female employees of the Federal Reserve plot to steal money that is about to be destroyed.,6.847133,United States of America,2008-01-17,0,104.0,English,5.9,140,Action,Comedy,Crime,gang,hoodlum,woman director
712,712,Before I Go to Sleep,,"A woman wakes up every day, remembering nothing as a result of a traumatic accident in her past. One day, new terrifying truths emerge that force her to question everyone around her.",48.784734,France,2014-09-03,15447154,92.0,English,6.2,659,Mystery,Thriller,,amnesia,therapist,aggression
713,713,Death at a Funeral,http://www.deathatafuneral-themovie.com/,Chaos ensues when a man tries to expose a dark secret regarding a recently deceased patriarch of a dysfunctional British family.,20.410354,United Kingdom,2007-02-09,46,90.0,English,6.9,497,Comedy,Drama,,brother brother relationship,farewell,father son relationship
718,718,The Rage: Carrie 2,,"After the suicide of her only friend, Rachel has never felt more on the outside. The one person who reached out to her, Jessie, also happens to be part of the popular crowd that lives to torment outsiders like her. But Rachel has something else that separates her from the rest, a secret amazing ability to move things with her mind. Sue Snell, the only survivor of Carrie White's rampage twenty-two years ago, may hold the key to helping Rachel come to terms with her awesome, but unwanted power. But as Rachel slowly learns to trust, a terrible trap is being laid for her. And making her angry could prove to be fatal.",4.781538,United States of America,1999-03-11,17762705,104.0,English,5.1,76,Horror,Thriller,Science Fiction,suicide,male nudity,female nudity
719,719,Swing Vote,,"In a remarkable turn of events, the result of the presidential election comes down to one man's vote.",5.815881,United States of America,2008-08-01,17600000,120.0,English,5.8,65,Drama,Comedy,,usa president,presidential election,fox news
732,732,Premonition,,"A depressed housewife who learns her husband was killed in a car accident the day previously, awakens the next morning to find him alive and well at home, and then awakens the day after to a world in which he is still dead.",22.049787,United States of America,2007-02-08,84146832,96.0,English,5.8,381,Thriller,Drama,Mystery,deja vu,dying and death,time travel
734,734,Max,,A dog that helped soldiers in Afghanistan returns to the U.S. and is adopted by his handler's family after suffering a traumatic experience.,14.136476,United States of America,2015-06-26,43967255,111.0,English,6.8,276,Adventure,Drama,Family,afghanistan,war,based on true story
736,736,The Grudge 2,http://www.sonypictures.com/homevideo/thegrudge2/,"In Tokyo, a young woman is exposed to the same mysterious curse that afflicted her sister. The supernatural force, which fills a person with rage before spreading to its next victim, brings together a group of previously unrelated people who attempt to unlock its secret to save their lives.",13.906944,United States of America,2006-10-13,39143839,102.0,English,5.2,283,Horror,Thriller,,remake,little boy,curse
738,738,The American,http://focusfeatures.com/film/the_american/,"Dispatched to a small Italian town to await further orders, assassin Jack embarks on a double life that may be more relaxing than is good for him.",18.632156,United Kingdom,2010-08-31,65464324,104.0,English,5.8,481,Crime,Drama,Thriller,prostitute,sweden,suspense
744,744,The Stepfather,http://www.welcometothefamily.com/,"Michael Harding (Penn Badgley) returns home from military school to find his mother (Sela Ward) happily in love and living with her new boyfriend, David (Dylan Walsh). As the two men get to know each other, Michael becomes more and more suspicious of the man who is always there with a helpful hand. Is he really the man of her dreams or could David be hiding a dark side?",7.924428,United States of America,2009-10-16,0,101.0,English,5.4,167,Horror,Thriller,Mystery,step father,remake,
748,748,She's Out of My League,http://www.getyourrating.com/,"When he starts dating drop-dead gorgeous Molly, insecure airport security agent Kirk can't believe it. As his friends and family share their doubts about the relationship lasting, Kirk does everything he can to avoid losing Molly forever.",16.176976,United States of America,2010-03-11,49779728,104.0,English,5.9,525,Comedy,Romance,,confidence,romantic comedy,dating
756,756,Home for the Holidays,,"After losing her job, making out with her soon to be ex-boss, and finding out that her daughter plans to spend Thanksgiving with her boyfriend, Claudia Larson has to face spending the holiday with her family. She wonders if she can survive their crazy antics.",4.031585,United States of America,1995-11-02,17519169,103.0,English,6.3,39,Comedy,Drama,Romance,baltimore,thanksgiving,family clan
758,758,21 Grams,http://www.21-grams.com/index.php,"This is the story of three gentle persons: Paul Rivers an ailing mathematician lovelessly married to an English émigré, Christina Peck, an upper-middle-class suburban housewife, happily married and mother of two little girls, and Jack Jordan, an ex-convict who has found in his Christian faith the strength to raise a family. They will be brought together by a terrible accident that will change their lives. By the final frame, none of them will be the same as they will learn harsh truths about love, faith, courage, desire and guilt, and how chance can change our worlds irretrievably, forever.",32.243357,United States of America,2003-09-06,60427839,124.0,English,7.2,918,Drama,Crime,Thriller,life and death,transplantation,suicide attempt
759,759,Loser,,"On a university scholarship, a good natured student from the midwest gets a crash course in city life while dealing with three evil roommates. He befriends a virtually homeless college student whom he falls for, but she's dating a nasty professor.",5.214408,United States of America,2000-07-21,0,98.0,English,5.0,120,Drama,Comedy,Romance,college,lost and found,older brother younger sister
762,762,Ghost Town,,"Dentist, Bertram Pincus is a man whose people skills leave much to be desired. When Pincus dies unexpectedly, but is miraculously revived after seven minutes, he wakes up to discover that he now has the annoying ability to see ghosts.",17.98817,United States of America,2008-09-19,0,102.0,English,6.4,286,Comedy,Fantasy,Romance,dying and death,misanthrope,lecture
765,765,An American Carol,http://www.americancarol.com/,"In An American Carol a cynical, Anti-American Hollywood filmmaker sets out on a crusade to abolish the 4th of July holiday. He is visited by three spirits who take him on a hilarious journey in an attempt to show him the true meaning of America.",2.605374,United States of America,2008-10-03,7000000,83.0,English,4.1,20,Comedy,Fantasy,,terrorist,parody,documentary filmmaker
767,767,Strange Wilderness,,"With the ratings dropping for a wilderness-themed TV show, two animal fans go to the Andes in search of Bigfoot.",4.961306,United States of America,2008-02-01,6575282,87.0,English,4.7,69,Comedy,,,tv show,bigfoot,
768,768,Bandslam,http://bandslam-movie.com/,A high school social outcast and the popular girl bond through a shared love of music.,7.716606,United States of America,2009-08-06,5210988,111.0,English,5.4,126,Comedy,Drama,Family,new jersey,musical,battle of the bands
770,770,Flash of Genius,http://flashofgenius.net/,"In this David vs. Goliath drama based on a true story, college professor Robert Kearns (Greg Kinnear) goes up against the giants of the auto industry when they fail to give him credit for inventing intermittent windshield wipers. Kearns doggedly pursues recognition for his invention, as well as the much-deserved financial rewards for the sake of his wife (Lauren Graham) and six kids.",3.350297,United States of America,2008-09-07,0,119.0,English,6.3,59,Drama,,,biography,,
773,773,All Good Things,,"Newly-discovered facts, court records and speculation are used to elaborate the true love story and murder mystery of the most notorious unsolved murder case in New York history.",20.086645,United States of America,2010-12-03,0,101.0,English,5.9,286,Drama,Mystery,Thriller,difficult childhood,patriarch,childhood trauma
777,777,House on Haunted Hill,,"A remake of the 1959 film of the same name. A millionaire offers a group of diverse people $1,000,000 to spend the night in a haunted house with a horrifying past.",13.664614,United States of America,1999-10-29,40846082,93.0,English,5.5,209,Horror,Mystery,Thriller,lunatic asylum,aftercreditsstinger,
782,782,Kansas City,,"Robert Altman's story is a riff on race, class, and power cross-cuts between the two kidnappings and the background of corrupt politics and virtuoso jazz music. It all takes place in Kansas City in 1934.",5.380733,United States of America,1996-08-16,0,116.0,English,6.1,12,Thriller,Drama,Music,politician,kansas city,election
786,786,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,http://www.boratmovie.com/,"Kazakh journalist Borat Sagdiyev travels to America to make a documentary. As he zigzags across the nation, Borat meets real people in real situations with hysterical consequences. His backwards behavior generates strong reactions around him exposing prejudices and hypocrisies in American culture.",29.487784,United States of America,2006-11-01,261572744,82.0,English,6.5,1579,Comedy,,,male nudity,usa,california
797,797,Catch-22,,"A bombardier in World War II tries desperately to escape the insanity of the war. However, sometimes insanity is the only sane way to cope with a crazy situation. Catch-22 is a parody of a ""military mentality"" and of a bureaucratic society in general.",4.504377,United States of America,1970-06-24,24911670,121.0,English,6.7,72,War,Comedy,Drama,world war ii,island,bomber
803,803,And So It Goes,,A self-centered realtor enlists the help of his neighbor when he's suddenly left in charge of the granddaughter he never knew existed until his estranged son drops her off at his home.,9.633711,United States of America,2014-07-20,25312387,94.0,English,5.7,164,Comedy,Drama,Romance,grandfather granddaughter relationship,neighbor,wealthy
804,804,Dragonslayer,,The sorcerer and his apprentice Galen are on a mission to kill an evil dragon in order to save the King’s daughter from being sacrificed in accordance to a pact that the King himself made with the dragon to protect his kingdom. A fantasy film from Disney Studios that exhausted all possible visual effects of the time.,3.258422,United Kingdom,1981-06-26,14110013,108.0,English,6.5,67,Fantasy,,,secret identity,self sacrifice,magic
805,805,Hamlet,,"Hamlet, Prince of Denmark, returns home to find his father murdered and his mother remarrying the murderer, his uncle. Meanwhile, war is brewing.",9.814785,United Kingdom,1996-12-25,0,242.0,English,7.3,117,Drama,,,mother,shakespeare,denmark
806,806,Mao's Last Dancer,http://www.maoslastdancermovie.com/,"At the age of 11, Li was plucked from a poor Chinese village by Madame Mao's cultural delegates and taken to Beijing to study ballet. In 1979, during a cultural exchange to Texas, he fell in love with an American woman. Two years later, he managed to defect and went on to perform as a principal dancer for the Houston Ballet and as a principal artist with the Australian Ballet.",1.876811,Australia,2009-10-01,20719451,117.0,English,6.8,28,Drama,Romance,,costume,song,village
811,811,Wolves,,"The coming-of-age story of Cayden Richards. Forced to hit the road after the murder of his parents, Cayden wanders lost without purpose... Until he meets a certifiable lunatic named Wild Joe who sets him on a path to the ominous town of Lupine Ridge to hunt down the truths of his history. But in the end| who's really hunting whom?",7.922639,Canada,2014-08-28,0,90.0,English,5.7,82,Horror,Action,,adoption,werewolf,
813,813,City of Ghosts,,"A con man (Dillon) travels to Cambodia (also on the run from law enforcement in the U.S.) to collect his share in an insurance scam, but discovers more than he bargained for",2.64486,United States of America,2002-01-01,0,116.0,English,5.4,18,Thriller,,,,,
