,mid,original_title,homepage,overview,popularity,production_countries,release_date,revenue,runtime,spoken_languages,vote_average,vote_count,genres_1,genres_2,genres_3,keywords_1,keywords_2,keywords_3
311,311,Coraline,http://coraline.com/,"When Coraline moves to an old house, she feels bored and neglected by her parents. She finds a hidden door with a bricked up passage. During the night, she crosses the passage and finds a parallel world where everybody has buttons instead of eyes, with caring parents and all her dreams coming true. When the Other Mother invites Coraline to stay in her world forever, the girl refuses and finds that the alternate reality where she is trapped is only a trick to lure her.",51.146047,United States of America,2009-02-05,124596398,100.0,English,7.3,1386,Animation,Family,,dream,eye,stuffed animal
313,313,Starsky & Hutch,,"Join uptight David Starsky and laid-back Ken ""Hutch"" Hutchinson as they're paired for the first time as undercover cops. The new partners must overcome their differences to solve an important case with help from street informant Huggy Bear and persuasive criminal Reese Feldman.",28.848842,United States of America,2004-03-05,170268750,101.0,English,5.6,644,Comedy,Crime,,informant,jumping from a rooftop,surveillance footage
314,314,Hellboy,http://www.sonypictures.com/homevideo/hellboy/,"In the final days of World War II, the Nazis attempt to use black magic to aid their dying cause. The Allies raid the camp where the ceremony is taking place, but not before a demon - Hellboy - has already been conjured. Joining the Allied forces, Hellboy eventually grows to adulthood, serving the cause of good rather than evil.",47.479755,United States of America,2004-04-02,99318987,122.0,Pусский,6.5,2225,Fantasy,Action,Science Fiction,black magic,fistfight,cover-up
315,315,ParaNorman,http://paranorman.com,"In the town of Blithe Hollow, Norman Babcock is a boy who can speak to the dead, but no one besides his eccentric new friend, Neil, believes his ability is real. One day, Norman's estranged eccentric uncle tells him of an important annual ritual he must take up to protect the town from an curse cast by a witch it condemned centuries ago. Eventually, Norman decides to cooperate, but things don't go according to plan. Now, a magic storm of the witch threatens Blithe Hollow as the accursed dead rise. Together with unexpected new companions, Norman struggles to save his town, only to discover the horrific truth of the curse. With that insight, Norman must resolve the crisis for good as only he can.",39.539045,United States of America,2012-08-03,107139399,90.0,English,6.7,789,Family,Animation,Adventure,medium,stop motion,curse
317,317,The Tuxedo,,"Cabbie-turned-chauffeur Jimmy Tong learns there is really only one rule when you work for playboy millionaire Clark Devlin : Never touch Devlin's prized tuxedo. But when Devlin is temporarily put out of commission in an explosive accident, Jimmy puts on the tux and soon discovers that this extraordinary suit may be more black belt than black tie. Paired with a partner as inexperienced as he is, Jimmy becomes an unwitting secret agent.",21.549232,United States of America,2002-09-27,0,98.0,广州话 / 廣州話,5.3,483,Thriller,Action,Comedy,bomb,intelligence,chauffeur
319,319,Joy,http://www.foxmovies.com/movies/joy,A story based on the life of a struggling Long Island single mom who became one of the country's most successful entrepreneurs.,29.876507,United States of America,2015-12-24,101134059,124.0,Español,6.4,1581,Drama,Comedy,,factory,inventor,strong woman
320,320,Invictus,http://invictusmovie.warnerbros.com,"Newly elected President Nelson Mandela knows his nation remains racially and economically divided in the wake of apartheid. Believing he can bring his people together through the universal language of sport, Mandela rallies South Africa's rugby team as they make their historic run to the 1995 Rugby World Cup Championship match.",23.85119,United States of America,2009-12-10,122233971,134.0,English,7.0,1125,Drama,History,,stadium,south africa,apartheid
321,321,State of Play,http://www.stateofplaymovie.net/,"Handsome, unflappable U.S. Congressman Stephen Collins is the future of his political party: an honorable appointee who serves as the chairman of a committee overseeing defense spending. All eyes are upon the rising star to be his party's contender for the upcoming presidential race. Until his research assistant/mistress is brutally murdered and buried secrets come tumbling out.",21.685719,France,2009-04-17,87784194,127.0,广州话 / 廣州話,6.7,484,Action,,,corruption,assassination,detective
324,324,Planet 51,http://www.sonypictures.com/movies/planet51/,"When Earth astronaut Capt. Chuck Baker arrives on Planet 51 -- a world reminiscent of American suburbia circa 1950 -- he tries to avoid capture, recover his spaceship and make it home safely, all with the help of an empathetic little green being.",23.661071,Spain,2009-11-19,104945765,91.0,English,5.6,556,Science Fiction,Animation,Family,flying saucer,alien life-form,spaceship
326,326,Righteous Kill,http://www.righteouskill-themovie.com,"Two veteran New York City detectives work to identify the possible connection between a recent murder and a case they believe they solved years ago; is there a serial killer on the loose, and did they perhaps put the wrong person behind bars?",18.380176,United States of America,2008-09-11,73174566,101.0,Pусский,5.9,375,Action,Crime,Drama,revenge,murder,plot twist
333,333,Event Horizon,,"In the year 2047 a group of astronauts are sent to investigate and salvage the long lost starship ""Event Horizon"". The ship disappeared mysteriously 7 years before on its maiden voyage and with its return comes even more mystery as the crew of the ""Lewis and Clark"" discover the real truth behind its disappearance and something even more terrifying.",29.787135,United Kingdom,1997-08-15,26673242,96.0,English,6.5,742,Horror,Science Fiction,Mystery,space marine,nudity,nightmare
336,336,Inkheart,http://www.inkheartmovie.com/,"The adventures of a father and his young daughter, in their search for a long lost book that will help reunite a missing, close relative.",27.018886,Germany,2008-12-11,57490374,106.0,English,6.0,592,Adventure,Family,Fantasy,book,fairy tale,eavesdropping
337,337,The Great Raid,,"As World War II rages, the elite Sixth Ranger Battalion is given a mission of heroic proportions: push 30 miles behind enemy lines and liberate over 500 American prisoners of war.",8.923215,United States of America,2005-08-12,10166502,132.0,English,6.8,91,Action,History,War,based on novel,world war ii,prisoners of war
338,338,The Flintstones in Viva Rock Vegas,http://www.vivarockvegas.com/,"The Flintstones are at it again. The Flintstones and the Rubbles head for Rock Vegas with Fred hoping to court the lovely Wilma. Nothing will stand in the way of love, except for the conniving Chip Rockefeller who is the playboy born in Baysville but who has made it in the cutthroat town of Rock Vegas. Will Fred win Wilma's love?",6.248309,United States of America,2000-04-28,59468275,90.0,English,4.4,134,Science Fiction,Comedy,Family,waitress,marriage proposal,flirt
339,339,The Ridiculous 6,http://www.netflix.com/title/80039517,"When his long-lost outlaw father returns, Tommy ""White Knife"" Stockburn goes on an adventure-filled journey across the Old West with his five brothers.",19.694695,United States of America,2015-12-11,0,119.0,English,4.9,388,Comedy,Western,,wild west,,
340,340,Resident Evil: Afterlife,http://www.sonypictures.com/movies/residentevilafterlife/site/,"In a world ravaged by a virus infection, turning its victims into the Undead, Alice continues on her journey to find survivors and lead them to safety. Her deadly battle with the Umbrella Corporation reaches new heights, but Alice gets some unexpected help from an old friend. A new lead that promises a safe haven from the Undead takes them to Los Angeles, but when they arrive the city is overrun by thousands of Undead - and Alice and her comrades are about to step into a deadly trap.",2.143764,Germany,2010-09-09,300228084,97.0,English,5.8,1363,Action,Adventure,Horror,post-apocalyptic,dystopia,undead
346,346,The Nutty Professor,,"Eddie Murphy stars as shy Dr. Sherman Klump, a kind, brilliant, 'calorifically challenged' genetic professor. When beautiful Carla Purty joins the university faculty, Sherman grows desperate to whittle his 400-pound frame down to size and win her heart. So, with one swig of his experimental fat-reducing serum, Sherman becomes 'Buddy Love', a fast-talking, pumped-up , plumped down Don Juan.",20.28119,United States of America,1996-06-26,128769345,95.0,English,5.4,702,Fantasy,Comedy,Romance,overweight,overweight man,duringcreditsstinger
347,347,Hitch,,"Dating coach Alex 'Hitch' Hitchens mentors a bumbling client, Albert, who hopes to win the heart of the glamorous Allegra Cole. While Albert makes progress, Hitch faces his own romantic setbacks when proven techniques fail to work on Sara Melas, a tabloid reporter digging for dirt on Allegra Cole's love life. When Sara discovers Hitch's connection to Albert – now Allegra's boyfriend – it threatens to destroy both relationships.",34.576913,United States of America,2005-02-10,368100420,118.0,English,6.4,1665,Comedy,Drama,Romance,speed date,romantic comedy,dating
351,351,The Pursuit of Happyness,http://www.sonypictures.com/homevideo/thepursuitofhappyness/,"The true story of Christopher Gardner, who invests heavily in a device known as a 'Bone Density Scanner', only to find himself struggle to sell the product as it's just marginally better than the current technology, and much more expensive. His wife leaves him,  he loses his house, bank account and credit cards and, now forced to live out in the streets with his young son,  he's desperate to find a steady job. He takes on a job as a stockbroker but, before he can receive pay, he needs to go through 6 months of training, and must sell his devices.",80.581367,United States of America,2006-12-14,307077295,117.0,English,7.7,2525,Drama,,,san francisco,single parent,homeless person
352,352,Disclosure,,"A computer specialist is sued for sexual harassment by a former lover turned boss who initiated the act forcefully, which threatens both his career and his personal life.",15.064058,United States of America,1994-12-09,214015089,123.0,English,5.9,210,Drama,Thriller,Crime,employee,workplace,sexual harassment
353,353,Kill Bill: Vol. 1,http://www.miramax.com/movie/kill-bill-volume-1/,"An assassin is shot at the altar by her ruthless employer, Bill and other members of their assassination circle – but 'The Bride' lives to plot her vengeance. Setting out for some payback, she makes a death list and hunts down those who wronged her, saving Bill for last.",79.754966,United States of America,2003-10-10,180949000,111.0,English,7.7,4949,Action,Crime,,japan,coma,martial arts
354,354,Kill Bill: Vol. 2,,"The Bride unwaveringly continues on her roaring rampage of revenge against the band of assassins who had tried to kill her and her unborn child. She visits each of her former associates one-by-one, checking off the victims on her Death List Five until there's nothing left to do … but kill Bill.",50.622607,United States of America,2004-04-16,152159461,136.0,English,7.6,3948,Action,Crime,Thriller,brother brother relationship,swordplay,katana
355,355,Executive Decision,,"Terrorists hijack a 747 inbound to Washington D.C., demanding the the release of their imprisoned leader. Intelligence expert David Grant (Kurt Russell) suspects another reason and he is soon the reluctant member of a special assault team that is assigned to intercept the plane and hijackers.",17.231675,United States of America,1996-03-15,121969216,133.0,English,5.8,256,Action,Adventure,Drama,bomb,ransom,hostage
356,356,The Forbidden Kingdom,http://www.forbiddenkingdommovie.com/,"An American teenager who is obsessed with Hong Kong cinema and kung-fu classics makes an extraordinary discovery in a Chinatown pawnshop: the legendary stick weapon of the Chinese sage and warrior, the Monkey King. With the lost relic in hand, the teenager unexpectedly finds himself travelling back to ancient China to join a crew of warriors from martial arts lore on a dangerous quest to free the imprisoned Monkey King.",17.097041,China,2008-04-18,127906624,104.0,English,6.3,461,Action,Adventure,Fantasy,tempel,shaolin,teenager
358,358,The Phantom of the Opera,,"Deformed since birth, a bitter man known only as the Phantom lives in the sewers underneath the Paris Opera House. He falls in love with the obscure chorus singer Christine, and privately tutors her while terrorizing the rest of the opera house and demanding Christine be given lead roles. Things get worse when Christine meets back up with her childhood acquaintance Raoul and the two fall in love",18.927463,United Kingdom,2004-12-08,154648887,143.0,Italiano,7.0,438,Thriller,Drama,Romance,dancing,obsession,auction
359,359,Æon Flux,,"400 years into the future, disease has wiped out the majority of the world's population, except one walled city, Bregna, ruled by a congress of scientists. When Æon Flux, the top operative in the underground 'Monican' rebellion, is sent on a mission to kill a government leader, she uncovers a world of secrets.",29.954302,United States of America,2005-11-30,52304001,93.0,English,5.4,703,Action,Science Fiction,,martial arts,dystopia,surrealism
360,360,Imagine That,http://www.imaginethatmovie.com/,"A financial executive who can't stop his career downspiral is invited into his daughter's imaginary world, where solutions to his problems await.",12.340384,United States of America,2009-06-19,0,107.0,English,5.7,134,Comedy,,,,,
361,361,Muppets Most Wanted,,"While on a grand world tour, The Muppets find themselves wrapped into an European jewel-heist caper headed by a Kermit the Frog look-alike and his dastardly sidekick.",14.808304,United States of America,2014-03-20,80383290,112.0,Deutsch,6.2,316,Comedy,Adventure,Crime,musical,the muppets,
362,362,Burlesque,http://www.burlesquethemovie.com/,"The Burlesque Lounge has its best days behind it. Tess, a retired dancer and owner of the venue, struggles to keep the aging theater alive, facing all kinds of financial and artistic challenges. With the Lounge's troupe members becoming increasingly distracted by personal problems and a threat coming from a wealthy businessman's quest to buy the spot from Tess, the good fortune seems to have abandoned the club altogether. Meanwhile, the life of Ali, a small-town girl from Iowa, is about to change dramatically. Hired by Tess as a waitress at the Lounge, Ali escapes a hollow past and quickly falls in love with the art of burlesque. Backed by newfound friends amongst the theater's crew, she manages to fulfill her dreams of being on stage herself. Things take a dramatic turn though when Ali's big voice makes her become the main attraction of the revue",22.863516,United States of America,2010-11-23,89519773,119.0,English,6.9,573,Drama,Romance,,musical,los angeles,burlesque
363,363,Lolita,,"Humbert Humbert is a middle-aged British novelist who is both appalled by and attracted to the vulgarity of American culture. When he comes to stay at the boarding house run by Charlotte Haze, he soon becomes obsessed with Lolita, the woman's teenaged daughter.",23.962109,United Kingdom,1962-06-13,9250000,153.0,English,7.3,395,Drama,Romance,,sexual obsession,hotel,depression
364,364,Seven Pounds,http://www.sonypictures.com/movies/sevenpounds/,An IRS agent with a fateful secret embarks on an extraordinary journey of redemption by forever changing the lives of seven strangers.,41.472404,United States of America,2008-12-18,168167691,123.0,English,7.5,2039,Drama,,,vegetarian,tax collector,pianist
366,366,Domestic Disturbance,,A divorced father discovers that his 12-year-old son's new stepfather is not what he made himself out to be.,8.41856,United States of America,2001-10-30,54249294,89.0,English,5.4,113,Mystery,Thriller,Crime,menace,adoption,dangerous
367,367,Catch Me If You Can,https://www.facebook.com/CatchMeIfYouCanMovie,"A true story about Frank Abagnale Jr. who, before his 19th birthday, successfully conned millions of dollars worth of checks as a Pan Am pilot, doctor, and legal prosecutor. An FBI agent makes it his mission to put him behind bars. But Frank not only eludes capture, he revels in the pursuit.",73.944049,United States of America,2002-12-25,352114312,141.0,English,7.7,3795,Drama,Crime,,con man,biography,fbi agent
368,368,The Break-Up,https://www.uphe.com/movies/the-break-up,"Cohabitating couple Gary and Brooke find their once-blissful romance on the rocks when petty spats about lemons and dirty dishes mushroom into an all-out battle for custody of their upscale Chicago condo. An escalating argument ensues as Gary and Brooke continue to live under the same roof, all while cooking up schemes to drive each other off the premises.",26.251217,United States of America,2006-06-01,204999686,106.0,English,5.6,832,Romance,Comedy,,bowling,chicago,american football
369,369,Valentine's Day,http://www.valentinesdaymovie.com/,"More than a dozen Angelenos navigate Valentine's Day from early morning until midnight. Three couples awake together, but each relationship will sputter; are any worth saving? A grade-school boy wants flowers for his first true love; two high school seniors plan first-time sex at noon; a TV sports reporter gets the assignment to find romance in LA; a star quarterback contemplates his future; two strangers meet on a plane; grandparents, together for years, face a crisis; and, an ""I Hate Valentine's Day"" dinner beckons the lonely and the lied to. Can Cupid finish his work by midnight?",25.41929,United States of America,2010-02-10,216485654,125.0,English,5.7,1013,Comedy,Romance,,flower,married couple,florist
370,370,The Dukes of Hazzard,http://www.warnerbros.com/dukes-hazzard/index_splash,"Cousins, Bo and Luke Duke, with the help of their eye-catching cousin, Daisy and moonshine-running Uncle Jesse, try and save the family farm from being destroyed by Hazzard County's corrupt commissioner, Boss Hogg. Their efforts constantly find the 'Duke Boys' eluding authorities in 'The General Lee', their 1969 orange Dodge Charger that keeps them one step ahead of the dimwitted antics of the small southern town's Sheriff, Roscoe P. Coltrane.",15.98212,United States of America,2005-08-05,110803676,104.0,English,5.1,316,Action,Adventure,Comedy,sheriff,farm,bikini
372,372,From Paris with Love,http://www.frompariswithlovefilm.com/,"James Reese has a good job as an ambassador's aid in France, but his real passion is a side gig, working in a minor role in the CIA. He would love to be a full-fledged agent and can't believe his luck when he lands an assignment with Charlie Wax. Trigger-happy Charlie soon has James crying for his desk job, but when he learns that the same guys they're trying to catch are after him, James realizes that Charlie may be his only hope of survival.",27.916284,United Kingdom,2010-02-05,52826594,92.0,Deutsch,6.1,675,Action,Crime,Thriller,paris,cia,undercover
373,373,The Twilight Saga: New Moon,http://www.twilightthemovie.com/,"Forks, Washington resident Bella Swan is reeling from the departure of her vampire love, Edward Cullen, and finds comfort in her friendship with Jacob Black, a werewolf. But before she knows it, she's thrust into a centuries-old conflict, and her desire to be with Edward at any cost leads her to take greater and greater risks.",94.815867,United States of America,2009-03-15,709827462,130.0,English,5.6,2436,Adventure,Fantasy,Drama,moon,cinema,vampire
375,375,As Good as It Gets,,"New York City. Melvin Udall, a cranky, bigoted, obsessive-compulsive writer, finds his life turned upside down when neighboring gay artist Simon is hospitalized and his dog is entrusted to Melvin. In addition, Carol, the only waitress who will tolerate him, must leave work to care for her sick son, making it impossible for Melvin to eat breakfast.",37.885022,United States of America,1997-12-19,314178011,139.0,English,7.2,915,Comedy,Romance,,single parent,waitress,lone wolf
376,376,Mr. Deeds,,"When Longfellow Deeds, a small-town pizzeria owner and poet, inherits $40 billion from his deceased uncle, he quickly begins rolling in a different kind of dough. Moving to the big city, Deeds finds himself besieged by opportunists all gunning for their piece of the pie. Babe, a television tabloid reporter, poses as an innocent small-town girl to do an exposé on Deeds.",18.121404,United States of America,2002-06-28,171269535,96.0,English,5.6,644,Comedy,Romance,,love letter,new hampshire,ferrari
377,377,Yes Man,,Carl Allen has stumbled across a way to shake free of post-divorce blues and a dead-end job: embrace life and say yes to everything.,43.849351,United States of America,2008-12-09,225990978,104.0,Eesti,6.4,1813,Comedy,,,bungee-jump,scooter,
380,380,Congo,,"Eight people embark on an expedition into the Congo, a mysterious expanse of unexplored Africa where human greed and the laws of nature have gone berserk. When the thrill-seekers -- some with ulterior motives -- stumble across a race of killer apes.",10.755847,United States of America,1995-06-09,152022101,109.0,English,5.0,213,Action,Adventure,Drama,gorilla,kongo,diamond mine
381,381,Knowing,http://knowing-themovie.com/,A teacher opens a time capsule that has been dug up at his son's elementary school; in it are some chilling predictions -- some that have already occurred and others that are about to -- that lead him to believe his family plays a role in the events that are about to unfold.,32.693093,United Kingdom,2009-03-19,155446362,121.0,English,5.9,1486,Action,Adventure,Drama,cataclysm,code,suspense
383,383,Christmas with the Kranks,,"Luther Krank is fed up with the commerciality of Christmas; he decides to skip the holiday and go on a vacation with his wife instead. But when his daughter decides at the last minute to come home, he must put together a holiday celebration.",9.225166,United States of America,2004-11-24,0,99.0,Español,5.2,193,Comedy,Family,,holiday,christmas,
384,384,Race to Witch Mountain,,"A taxi driver gets more than he bargained for when he picks up two teen runaways. Not only does the pair possess supernatural powers, but they're also trying desperately to escape people who have made them their targets.",23.935053,United States of America,2009-03-12,106303988,98.0,English,5.5,509,Adventure,Family,Fantasy,spacecraft,laser,teleportation
385,385,V for Vendetta,http://vforvendetta.warnerbros.com/,"In a world in which Great Britain has become a fascist state, a masked vigilante known only as 'V' conducts guerrilla warfare against the oppressive British government. When 'V' rescues a young woman from the secret police, he finds in her an ally with whom he can continue his fight to free the people of Britain.",84.630969,Germany,2006-03-15,132511035,132.0,English,7.7,4442,Action,Thriller,Fantasy,detective,vatican,fascism
390,390,The Game,,"In honor of his birthday, San Francisco banker Nicholas Van Orton, a financial genius and a coldhearted loner, receives an unusual present from his younger brother, Conrad -- a gift certificate to play a unique kind of game. In nearly a nanosecond, Nicholas finds himself consumed by a dangerous set of ever-changing rules, unable to distinguish where the charade ends and reality begins.",62.925175,United States of America,1997-09-12,109423648,129.0,广州话 / 廣州話,7.5,1506,Drama,Thriller,Mystery,brother brother relationship,birthday,danger of life
393,393,The Peacemaker,,"When a train carrying atomic warheads mysteriously crashes in the former Soviet Union, a nuclear specialist discovers the accident is really part of a plot to cover up the theft of the weapons. Assigned to help her recover the missing bombs is a crack Special Forces Colonel.",15.931084,United States of America,1997-09-26,0,124.0,English,5.8,255,Action,Thriller,,helicopter,terrorist,nuclear missile
396,396,The Adventures of Sharkboy and Lavagirl,http://www.miramax.com/movie/the-adventures-of-sharkboy-and-lavagirl/,"Everyone always knew that Max had a wild imagination, but no one believed that his wildest creations -- a boy raised by watchful great white sharks and a girl with the force of a volcano -- were real. Now, these two pint-sized action masters will show Max that even an ordinary kid has what it takes to be extraordinary.",12.31101,United States of America,2005-06-10,69425966,92.0,English,4.4,269,Adventure,Family,Science Fiction,imaginary friend,outcast,
397,397,Ninja Assassin,http://ninja-assassin-movie.warnerbros.com/,"Ninja Assassin follows Raizo (Rain), one of the deadliest assassins in the world. Taken from the streets as a child, he was transformed into a trained killer by the Ozunu Clan, a secret society whose very existence is considered a myth. But haunted by the merciless execution of his friend by the Clan, Raizo breaks free from them and vanishes. Now he waits, preparing to exact his revenge.",19.085403,Germany,2009-09-29,60462347,99.0,English,6.2,371,Action,Crime,Thriller,assassination,assassin,ninja fighter
398,398,Striptease,,"Bounced from her job, Erin Grant needs money if she's to have any chance of winning back custody of her child. But, eventually, she must confront the naked truth: to take on the system, she'll have to take it all off. Erin strips to conquer, but she faces unintended circumstances when a hound dog of a Congressman zeroes in on her and sharpens the shady tools at his fingertips, including blackmail and murder.",11.106006,United States of America,1996-06-28,113309743,115.0,English,4.4,205,Drama,Thriller,Crime,blackmail,strip club,striptease
401,401,Free State of Jones,http://stxmovies.com/freestateofjones/,"In 1863, Mississippi farmer Newt Knight serves as a medic for the Confederate Army. Opposed to slavery, Knight would rather help the wounded than fight the Union. After his nephew dies in battle, Newt returns home to Jones County to safeguard his family but is soon branded an outlaw deserter. Forced to flee, he finds refuge with a group of runaway slaves hiding out in the swamps. Forging an alliance with the slaves and other farmers, Knight leads a rebellion that would forever change history.",21.589393,United States of America,2016-06-24,25035950,139.0,English,6.6,428,War,Action,Drama,slavery,american civil war,
402,402,The Life of David Gale,,A man against capital punishment is accused of murdering a fellow activist and is sent to death row.,22.442241,Germany,2003-02-21,38955598,130.0,English,7.3,480,Drama,Thriller,Crime,prison,journalist,texas
406,406,Domino,,"The daughter of actor, Laurence Harvey turns away from her career as a Ford model to become a bounty hunter.",18.394571,France,2005-09-22,22944502,127.0,English,6.0,444,Action,Crime,,bounty hunter,fbi,weapon
409,409,Indiana Jones and the Last Crusade,http://www.indianajones.com/crusade,"When Dr. Henry Jones Sr. suddenly goes missing while pursuing the Holy Grail, eminent archaeologist Indiana must team up with Marcus Brody, Sallah and Elsa Schneider to follow in his father's footsteps and stop the Nazis from recovering the power of eternal life.",80.972475,United States of America,1989-05-24,474171806,127.0,Deutsch,7.6,3152,Adventure,Action,,saving the world,venice,holy grail
410,410,Chappie,http://www.chappie-movie.com,"Every child comes into the world full of promise, and none more so than Chappie: he is gifted, special, a prodigy. Like any child, Chappie will come under the influence of his surroundings—some good, some bad—and he will rely on his heart and soul to find his way in the world and become his own man. But there's one thing that makes Chappie different from any one else: he is a robot.",116.700319,Mexico,2015-03-04,104399548,120.0,English,6.6,3062,Crime,Action,Science Fiction,artificial intelligence,android,robot
411,411,Panic Room,http://www.sonypictures.com/movies/panicroom/,"Trapped in their New York brownstone's panic room, a hidden chamber built as a sanctuary in the event of break-ins, newly divorced Meg Altman and her young daughter Sarah play a deadly game of cat-and-mouse with three intruders - Burnham, Raoul and Junior - during a brutal home invasion. But the room itself is the focal point because what the intruders really want is inside it.",53.043124,United States of America,2002-03-29,196397415,111.0,English,6.5,1267,Crime,Drama,Thriller,burglar,bunker,housebreaking
412,412,Kate & Leopold,,"When her scientist ex-boyfriend discovers a portal to travel through time -- and brings back a 19th-century nobleman named Leopold to prove it -- a skeptical Kate reluctantly takes responsibility for showing Leopold the 21st century. The more time Kate spends with Leopold, the harder she falls for him. But if he doesn't return to his own time, his absence will forever alter history.",11.940711,United States of America,2001-12-25,0,118.0,English,6.0,418,Comedy,Fantasy,Romance,lover (female),love of one's life,time travel
415,415,The Flintstones,,Modern Stone Age family the Flintstones hit the big screen in this live-action version of the classic cartoon. Fred helps Barney adopt a child. Barney sees an opportunity to repay him when Slate Mining tests its employees to find a new executive. But no good deed goes unpunished.,28.964162,United States of America,1994-05-26,341631208,91.0,English,5.0,543,Fantasy,Comedy,Family,manager,jealousy,bad mother-in-law
418,418,The Pelican Brief,,Two Supreme Court Justices have been assassinated. One lone law student has stumbled upon the truth. An investigative journalist wants her story. Everybody else wants her dead.,17.923254,United States of America,1993-12-16,195268056,141.0,English,6.3,371,Drama,Mystery,Thriller,judge,professor,mission of murder
419,419,The Bucket List,http://www.warnerbros.com/bucket-list,"Corporate billionaire Edward Cole and working class mechanic Carter Chambers are worlds apart. At a crossroads in their lives, they share a hospital room and discover they have two things in common: a desire to spend the time they have left doing everything they ever wanted to do and an unrealized need to come to terms with who they are. Together they embark on the road trip of a lifetime, becoming friends along the way and learning to live life to the fullest, with insight and humor.",31.305336,United States of America,2007-12-25,175372502,97.0,English,7.0,1111,Drama,Comedy,,africa,himalaya,brain tumor
420,420,Patriot Games,,"When CIA Analyst Jack Ryan interferes with an IRA assassination, a renegade faction targets Jack and his family as revenge.",19.637704,United States of America,1992-06-04,178051587,117.0,English,6.3,433,Drama,Action,Thriller,assassination,assassin,repayment
421,421,Monster-in-Law,,"Office temp Charlotte Cantilini thinks she's found Mr. Right when she starts dating gorgeous surgeon Dr. Kevin Fields. But there's a problem standing in the way of everlasting bliss: Kevin's overbearing and controlling mother, Viola. Fearing she'll lose her son's affections forever, Viola decides to break up the happy couple by becoming the world's worst mother-in-law.",10.411996,United States of America,2005-05-13,154749918,101.0,Český,5.6,406,Romance,Comedy,,bad mother-in-law,surgeon,dogsitter
423,423,Training Day,,"On his first day on the job as a narcotics officer, a rookie cop works with a rogue detective who isn't what he appears.",52.081131,Australia,2001-10-05,104876233,122.0,English,7.3,1634,Action,Crime,Drama,police brutality,war on drugs,drug traffic
424,424,The Muppets,http://disney.go.com/muppets/,"When Kermit the Frog and the Muppets learn that their beloved theater is slated for demolition, a sympathetic human, Gary, and his puppet roommate, Walter, swoop in to help the gang put on a show and raise the $10 million they need to save the day.",17.047276,United States of America,2011-11-22,165184237,103.0,English,6.5,501,Comedy,Family,Music,musical,the muppets,robot
425,425,Coach Carter,,"Based on a true story, in which Richmond High School head basketball coach Ken Carter made headlines in 1999 for benching his undefeated team due to poor academic results.",23.234651,Germany,2005-01-14,76669806,136.0,English,7.3,496,Drama,,,black people,autoritian education,sport
428,428,"Yours, Mine and Ours",,"When a widower with 10 children marries a widow with 8, can the 20 of them ever come together as one big happy family?",2.094151,United States of America,1968-04-24,0,111.0,English,6.2,26,Comedy,Drama,Family,nurse,widow,children
431,431,The River Wild,,"While on a family vacation,  rafting expert Gail takes on a pair of armed killers while navigating a spectacularly violent river.",12.362876,United States of America,1994-09-30,0,111.0,English,6.1,210,Action,Adventure,Crime,river,robber,boston
432,432,The Indian in the Cupboard,,A nine-year-old boy gets a plastic Indian and a cupboard for his birthday and finds himself involved in adventure when the Indian comes to life and befriends him.,11.095914,United States of America,1995-07-14,0,96.0,English,5.9,134,Adventure,Family,Fantasy,cupboard,games,puppet
433,433,Savages,http://www.savagesfilm.com/,Pot growers Ben and Chon face off against the Mexican drug cartel who kidnapped their shared girlfriend.,31.856589,United States of America,2012-07-06,82966152,131.0,English,6.2,766,Crime,Drama,Thriller,widow,american abroad,eye gouging
434,434,Across the Universe,http://www.acrosstheuniverse.com/,"Musical based on The Beatles songbook and set in the 60s England, America, and Vietnam. The love story of Lucy and Jude is intertwined with the anti-war movement and social protests of the 60s.",11.872841,United States of America,2007-09-14,0,133.0,English,7.1,410,Adventure,Drama,Music,riot,protest,musical
435,435,Revolutionary Road,,A young couple living in a Connecticut suburb during the mid-1950s struggle to come to terms with their personal problems while trying to raise their two children. Based on a novel by Richard Yates.,20.360549,United Kingdom,2008-12-19,75225693,119.0,English,6.7,796,Drama,Romance,,adultery,jealousy,infidelity
436,436,16 Blocks,,"An aging cop is assigned the ordinary task of escorting a fast-talking witness from police custody to a courthouse, but they find themselves running the gauntlet as other forces try to prevent them from getting there.",32.31022,United States of America,2006-03-01,65664721,105.0,English,6.2,661,Action,Adventure,Crime,mission of murder,male bonding,doing the right thing
438,438,The Bounty Hunter,http://www.thebountyhunter-movie.net/,"Milo Boyd is a bounty hunter whose latest gig is rather satisfying, as he finds out that the bail-skipper he must chase down is his own ex-wife, Nicole -- but she has no intention of getting nabbed without a fight. Complicating matters, Nicole's wannabe-boyfriend, Stewart, joins the chase.",33.747825,United States of America,2010-03-16,136000000,110.0,English,5.5,858,Action,,,bounty hunter,ex-husband ex-wife relationship,
442,442,28 Days,,"After getting into a car accident while drunk on the day of her sister's wedding, Gwen Cummings is given a choice between prison or a rehab center. She chooses rehab, but is extremely resistant to taking part in any of the treatment programs they have to offer, refusing to admit that she has an alcohol addiction.",5.418921,United States of America,2000-04-06,0,103.0,English,6.0,208,Comedy,Drama,,alcoholism,urteil,car crash
